role,legajo,email,password,dni,full_name
alumno,A000001,a000001@alumnos.educar.test,45020001,45020001,"Sofia Acosta"
alumno,A000002,a000002@alumnos.educar.test,45020002,45020002,"Mateo Benitez"
alumno,A000003,a000003@alumnos.educar.test,45020003,45020003,"Valentina Castro"
alumno,A000004,a000004@alumnos.educar.test,45020004,45020004,"Tomas Diaz"
docente,D000001,d000001@educar.test,31010001,31010001,"Mariana Pereyra"
docente,D000002,d000002@educar.test,31010002,31010002,"Lucia Benitez"
tutor,T000001,t000001@familias.educar.test,52090001,52090001,"Carolina Fernandez"
tutor,T000002,t000002@familias.educar.test,52090002,52090002,"Ricardo Gomez"
no_docente,N000001,n000001@educar.test,33090001,33090001,"Andrea Mansilla"
no_docente,N000002,n000002@educar.test,33090002,33090002,"Pablo Suarez"
