role,legajo,email,password,dni,full_name,student,student_dni
tutor,T000001,t000001@familias.educar.test,45020001,52020001,"Tutor Acosta","Sofia Acosta",45020001
tutor,T000002,t000002@familias.educar.test,45020002,52020002,"Tutor Aguilar","Valentina Aguilar",45020002
tutor,T000003,t000003@familias.educar.test,45020003,52020003,"Tutor Alvarez","Martina Alvarez",45020003
tutor,T000004,t000004@familias.educar.test,45020004,52020004,"Tutor Arias","Emma Arias",45020004
tutor,T000005,t000005@familias.educar.test,45020005,52020005,"Tutor Barrios","Catalina Barrios",45020005
tutor,T000006,t000006@familias.educar.test,45020006,52020006,"Tutor Cabrera","Olivia Cabrera",45020006
tutor,T000007,t000007@familias.educar.test,45020007,52020007,"Tutor Campos","Isabella Campos",45020007
tutor,T000008,t000008@familias.educar.test,45020008,52020008,"Tutor Correa","Mia Correa",45020008
tutor,T000009,t000009@familias.educar.test,45020009,52020009,"Tutor Diaz","Alma Diaz",45020009
tutor,T000010,t000010@familias.educar.test,45020010,52020010,"Tutor Farias","Lola Farias",45020010
tutor,T000011,t000011@familias.educar.test,45020011,52020011,"Tutor Gimenez","Clara Gimenez",45020011
tutor,T000012,t000012@familias.educar.test,45020012,52020012,"Tutor Godoy","Juana Godoy",45020012
tutor,T000013,t000013@familias.educar.test,45020013,52020013,"Tutor Gutierrez","Renata Gutierrez",45020013
tutor,T000014,t000014@familias.educar.test,45020014,52020014,"Tutor Ibarra","Amparo Ibarra",45020014
tutor,T000015,t000015@familias.educar.test,45020015,52020015,"Tutor Juarez","Josefina Juarez",45020015
tutor,T000016,t000016@familias.educar.test,45020016,52020016,"Tutor Ledesma","Abril Ledesma",45020016
tutor,T000017,t000017@familias.educar.test,45020017,52020017,"Tutor Medina","Emilia Medina",45020017
tutor,T000018,t000018@familias.educar.test,45020018,52020018,"Tutor Mendez","Victoria Mendez",45020018
tutor,T000019,t000019@familias.educar.test,45020019,52020019,"Tutor Miranda","Morena Miranda",45020019
tutor,T000020,t000020@familias.educar.test,45020020,52020020,"Tutor Moyano","Pilar Moyano",45020020
tutor,T000021,t000021@familias.educar.test,45020021,52020021,"Tutor Nunez","Malena Nunez",45020021
tutor,T000022,t000022@familias.educar.test,45020022,52020022,"Tutor Ortiz","Bianca Ortiz",45020022
tutor,T000023,t000023@familias.educar.test,45020023,52020023,"Tutor Paz","Delfina Paz",45020023
tutor,T000024,t000024@familias.educar.test,45020024,52020024,"Tutor Quiroga","Aitana Quiroga",45020024
tutor,T000025,t000025@familias.educar.test,45020025,52020025,"Tutor Romero","Guadalupe Romero",45020025
tutor,T000026,t000026@familias.educar.test,45020026,52020026,"Tutor Acosta","Mateo Acosta",45020026
tutor,T000027,t000027@familias.educar.test,45020027,52020027,"Tutor Aguilar","Benjamin Aguilar",45020027
tutor,T000028,t000028@familias.educar.test,45020028,52020028,"Tutor Alvarez","Bautista Alvarez",45020028
tutor,T000029,t000029@familias.educar.test,45020029,52020029,"Tutor Arias","Felipe Arias",45020029
tutor,T000030,t000030@familias.educar.test,45020030,52020030,"Tutor Barrios","Joaquin Barrios",45020030
tutor,T000031,t000031@familias.educar.test,45020031,52020031,"Tutor Cabrera","Lorenzo Cabrera",45020031
tutor,T000032,t000032@familias.educar.test,45020032,52020032,"Tutor Campos","Santino Campos",45020032
tutor,T000033,t000033@familias.educar.test,45020033,52020033,"Tutor Correa","Thiago Correa",45020033
tutor,T000034,t000034@familias.educar.test,45020034,52020034,"Tutor Diaz","Bruno Diaz",45020034
tutor,T000035,t000035@familias.educar.test,45020035,52020035,"Tutor Farias","Lautaro Farias",45020035
tutor,T000036,t000036@familias.educar.test,45020036,52020036,"Tutor Gimenez","Dante Gimenez",45020036
tutor,T000037,t000037@familias.educar.test,45020037,52020037,"Tutor Godoy","Franco Godoy",45020037
tutor,T000038,t000038@familias.educar.test,45020038,52020038,"Tutor Gutierrez","Valentino Gutierrez",45020038
tutor,T000039,t000039@familias.educar.test,45020039,52020039,"Tutor Ibarra","Tomas Ibarra",45020039
tutor,T000040,t000040@familias.educar.test,45020040,52020040,"Tutor Juarez","Ignacio Juarez",45020040
tutor,T000041,t000041@familias.educar.test,45020041,52020041,"Tutor Ledesma","Facundo Ledesma",45020041
tutor,T000042,t000042@familias.educar.test,45020042,52020042,"Tutor Medina","Gael Medina",45020042
tutor,T000043,t000043@familias.educar.test,45020043,52020043,"Tutor Mendez","Nicolas Mendez",45020043
tutor,T000044,t000044@familias.educar.test,45020044,52020044,"Tutor Miranda","Juan Miranda",45020044
tutor,T000045,t000045@familias.educar.test,45020045,52020045,"Tutor Moyano","Pedro Moyano",45020045
tutor,T000046,t000046@familias.educar.test,45020046,52020046,"Tutor Nunez","Salvador Nunez",45020046
tutor,T000047,t000047@familias.educar.test,45020047,52020047,"Tutor Ortiz","Elias Ortiz",45020047
tutor,T000048,t000048@familias.educar.test,45020048,52020048,"Tutor Paz","Manuel Paz",45020048
tutor,T000049,t000049@familias.educar.test,45020049,52020049,"Tutor Quiroga","Simon Quiroga",45020049
tutor,T000050,t000050@familias.educar.test,45020050,52020050,"Tutor Romero","Santiago Romero",45020050
tutor,T346565,t346565@familias.educar.test,65258741,52258741,"Tutor Perez","Guido Perez",65258741
tutor,T887566,t887566@familias.educar.test,37428287,52428287,"Tutor Gallardi","Angelo Gallardi",37428287
